Index,Entry_ID,Formula,Elements,Has_BEC
1,----9KNOtIZc9bDFEWxgjeSRsJrC,CaFe2Re,"Ca, Fe, Re",False
2,----BEk-iItJyMGT-CbhYfPMsbH8,CaCuNi2,"Ca, Cu, Ni",False
3,----RI8vSrvtlWU73ctN1LnEc0xu,BaTcIr2,"Ba, Ir, Tc",False
4,----r6J__C0V2VXLFYmGZiF8p8GC,RuRhIn,"In, Rh, Ru",False
5,---1eTexcYM7nSCkhBEAGFFqfuZr,C6Pb2,"C, Pb",False
6,---4koEySUyRp7VIHjPrYgb5lGQf,C33O2Ta16V16,"C, O, Ta",False
7,---5OZZjgVs-7t5n65pAoru-QqvP,EuMnN3,"Eu, Mn, N",False
8,---5j7mcxNFUhK0TyR3NI6fGu1Sz,ThDy2Ag,"Ag, Dy, Th",False
9,---7oYJj2gUbeNEm6ZPQvAscL694,Hg2OsZn,"Hg, Os, Zn",False
10,---8JMq9VLCCNAMDpoVi3PrLuakq,Mg2NiCl,"Cl, Mg, Ni",False
11,---8Rvb48zlidkq-u18UufTC8YE3,Ru3Ag,"Ag, Ru",False
12,---9UIuzNJpS4IKamInkdUpmcn3_,BaNaPtSr,"Ba, Na, Pt",False
13,---BN7WwIda4Qeapa2mJrE3NyHox,IrMoTaY,"Ir, Mo, Ta",False
14,---CU_ejqV7yjEFteUAH0rG0SKIS,AlAuTi2,"Al, Au, Ti",False
15,---Dz9vL-eyErWEk7-1tX4zLVmwo,PdTiZr,"Pd, Ti, Zr",False
16,---G124P-QcO50gKcpL9uhVhygwd,CoNaY2,"Co, Na, Y",False
17,---Gh26iyVzr8SWTrSJTTD-RIIIv,RbKOs2Rh,"K, Os, Rb",False
18,---K_oamb0brcfuzk7XeBGT1l6pp,Ag2LaNi,"Ag, La, Ni",False
19,---LhCz7HIb1HeETZ5QpqjmWn_2H,PuAcGa2O8,"Ac, Ga, O",False
20,---MAl68LQ-qCB6yczwW-nO4ThcP,ErYIrNi,"Er, Ir, Ni",False
21,---MQbM_tFJU0GcHVr2D6_uX6b1Y,CoCrInNa,"Co, Cr, In",False
22,---NQHeVdeAzIe4BetYgYwob_QnH,ErSmAu,"Au, Er, Sm",False
23,---NRSI3eJ3cEV97kfl9eKZ38L5M,NaNi2V,"Na, Ni, V",False
24,---OWGSfJGTXSTY71gcX0l_HFO9A,LiSr2Zr,"Li, Sr, Zr",False
25,---QHn2Qkw14QnRuG-QiODOGsVpu,As2ClMn,"As, Cl, Mn",False
26,---RLY2FUy25Sp9aCug9ArDJj9CD,Cs2AgBiF6,"Ag, Bi, Cs",False
27,---SR2t2-lkZvBWVaF-eCLkf7BQh,OsSbY,"Os, Sb, Y",False
28,---SUUDW8NdNNHk47HCtji3woRLp,AuLa2,"Au, La",False
29,---Wt_0cGwwjMwzsVJttcnamxl6K,Dy2Tb2Co,"Co, Dy, Tb",False
30,---YTmLZZo6aM2tIclouaR_O8t5C,Ru2TcTl,"Ru, Tc, Tl",False
31,---YeVG44ScD2Y5IDaJM0CyuXHeK,CdCuNb2,"Cd, Cu, Nb",False
32,---_YiGpsqbH8EeoZjwyilWhSv19,Ag2BFe,"Ag, B, Fe",False
33,---aoXKIULbwYuAbnX-vtO6C8D5q,ZnSiSe2,"Se, Si, Zn",False
34,---fG7G9ZO0e4n43GJeHiK31gfsJ,HgIr2Y,"Hg, Ir, Y",False
35,---fJ_y2aPCI1DIwIDN6QizH2d-6,Fe2CoP,"Co, Fe, P",False
36,---fRIqpyLzRHr9rvYmWxdl7al_x,As2TeSeBr,"As, Br, Se",False
37,---g0sxp4SCw_qXNyXQv8SacDS10,LiHgInPb2,"Hg, In, Li",False
38,---hc8_hXpe8X0J1ibGSATQeJh4O,BeLuScAl,"Al, Be, Lu",False
39,---jJGpOAvRp-OW2GqyBEqJ4n0UU,AuSe2BrCl,"Au, Br, Cl",False
40,---jQXLS74uZWMsISqvTtAFJD6A1,BiRuTa2,"Bi, Ru, Ta",False
41,---jXsRyPrVBCOb8aGYQ8J1T503h,Bi12Ir4,"Bi, Ir",False
42,---lLPkPswG3pRPWYJ2CfUYFhSaB,NiOs2Re,"Ni, Os, Re",False
43,---lcdO7iuubj3RaZuWBrD9rf2Md,RhSeZn,"Rh, Se, Zn",False
44,---mWpSogZteOYvPrpyT6PUZfSQJ,MnNaPm2,"Mn, Na, Pm",False
45,---n93Np1-HZAuVg04MKVYobIt2m,As2F12I2Se12,"As, F, I",False
46,---nb1Zrg9nx-S-SZgvXiB959vtd,Ir2ReSi,"Ir, Re, Si",False
47,---pRcX7NG_XDx_4ufUaeEnZnmrO,AsLiTi2,"As, Li, Ti",False
48,---qorXRp6SkLw5Ch79dc5rTJrv7,Ti9ZnGa2,"Ga, Ti, Zn",False
49,---qv0KUQPED0dtZrQZifEQeZlLf,C18B6,"B, C",False
50,---sHlXXFcIj9Sz6fYf07m7Urmjw,KY3P,"K, P, Y",False
51,---shzteYotmvw_iybdkpdrVmOJC,CoNiRh,"Co, Ni, Rh",False
52,---sltur0gBkJQUobdR596MoEZZU,CrLi4Pd,"Cr, Li, Pd",False
53,---tnaDcGCwhWxTGhi_ei_7zvIMD,SrHgSe2,"Hg, Se, Sr",False
54,---vOlFiwCCU4JeZ0QjGTKQZYbXS,AgNiZr2,"Ag, Ni, Zr",False
55,---x0dhqdpEkEjP-AT6KK_5q_E8D,ErNaO3,"Er, Na, O",False
56,---xblBrV-DR_MKgcOvHs4tIKWMj,V2HgCl6,"Cl, Hg, V",False
57,---zunmyM7KVNx0YPCrZceSjc9nS,Tm2ZnGa2,"Ga, Tm, Zn",False
58,--01R9Nvr1n7-JnXornoBV0U5Q8e,Ca2Mn4Pb8,"Ca, Mn, Pb",False
59,--02-xnh_LN7-oec2_DC3YtypIKr,OsRhPt2,"Os, Pt, Rh",False
60,--02RVWFsge3JnyEkrke4D9XOuOY,Ca4TaOs,"Ca, Os, Ta",False
61,--03-YaNAL9xacqiDjdhMqj-EORi,BaCaSi2,"Ba, Ca, Si",False
62,--05T8shIm875Ks_RXEix4WTOxWS,CeBN2,"B, Ce, N",False
63,--08uChJwhIllpuzZsx5KI8tgLGJ,Se3Si,"Se, Si",False
64,--09lmjSYVxIuLUKHtDythCHahIG,Ni2TeY,"Ni, Te, Y",False
65,--0DTSS421PRFvtPjcH5Zkz-VrVk,SbSi2V,"Sb, Si, V",False
66,--0G2C9f8WwGcBuSJGlyoDshlxhw,IrMoTl2,"Ir, Mo, Tl",False
67,--0GKq8ho6MlOHaG7o_rD-S-U-E6,Br2IrOs,"Br, Ir, Os",False
68,--0Hj5fqGLafCh90yCg1gBBRRlKo,Be3Os,"Be, Os",False
69,--0HkkHqsCwKkQRMp1JXIIZ36ERw,BaAgSi2,"Ag, Ba, Si",False
70,--0IDLLJdpos7FrdyNXJnVmfwDB7,B12Cs4O20,"B, Cs, O",False
71,--0JQP7DXapPm4t5nS4R_DDY3uFS,AgSbSr,"Ag, Sb, Sr",False
72,--0KS0Aw3oPAQIDcjG2-dTqQOSuv,TbGd2Sm,"Gd, Sm, Tb",False
73,--0KY3_q9IN3YFhPurrMKqI_9vCl,Na3AlSe,"Al, Na, Se",False
74,--0LHvzRfuTLfYg6PTufpSuOfRDh,TcSb,"Sb, Tc",False
75,--0OyP2kC3b8B6dmvPQlOciyv054,BaPdTl2,"Ba, Pd, Tl",False
76,--0PFNxCH2RCF-wArFJKYPswMTC9,Hg2ReSn,"Hg, Re, Sn",False
77,--0R5E4q1f7f2N9lkWZ3YOzOSYIs,Ag3Cl3Se6,"Ag, Cl, Se",False
78,--0RSTtl4mvX3Nd0JjhL_V1YV1ip,Mn2PbTi,"Mn, Pb, Ti",False
79,--0SDuSOM_gpweM3PDb0WOFgYDyv,HfNbTcTi,"Hf, Nb, Tc",False
80,--0SrbsWQLCYlgu8aYNKWnHbaJzp,La2IrBr,"Br, Ir, La",False
81,--0T06xhvd9YS0u2I5toeIvt1IdC,U2DyGa9,"Dy, Ga, U",False
82,--0TWjKKNj9HLjh3f46XUqenSjm-,CsGe4Li12Na3O16,"Cs, Ge, Li",False
83,--0TXFv_aZUPi2bqjewWq3CTSGfc,Na2Al17B7Si11H6O62,"Al, B, H",False
84,--0VAWPr9ONcNW6D0Vpkb-Z96zSj,Te2,Te,False
85,--0W-AGFY9b26atV-msofFkhUQBg,PrIr2Zn9,"Ir, Pr, Zn",False
86,--0Wis-_eSopytwVd1dn2NRN1L0Y,Be6Te7,"Be, Te",False
87,--0XM3Qfwb_i5iJBXaXq9uNbAaq8,NbPW2,"Nb, P, W",False
88,--0YiQaORLdcHSBdWoMGHKChbJmT,AlCoHfMo,"Al, Co, Hf",False
89,--0cmtAs0VNffh-ZRkYGlqZ0aquZ,VBrCl,"Br, Cl, V",False
90,--0d47Xv4tBSn1kSmEugsedA3riQ,Ho2Fe3Ni,"Fe, Ho, Ni",False
91,--0h9wg-pDVwXmTQz244C-cvHLig,PdSnTc2,"Pd, Sn, Tc",False
92,--0hRAVwcMAcZCCwxQHCNzxrnFvI,TaRh2In,"In, Rh, Ta",False
93,--0j5ZSyaMCvDDPENJdx-bnk-ifl,CuFeK2,"Cu, Fe, K",False
94,--0jLz1eNRwtR_oRxPpgVC9U437y,BiTcTiZr,"Bi, Tc, Ti",False
95,--0kLDjIXlx_7E3H3OZR1rAxXpUc,TlSnPS2,"P, S, Sn",False
96,--0lpDIApJ_zeshJ8QU33FZtFrSq,Sn3Zr,"Sn, Zr",False
97,--0nha8_RRiDfPNbKes_XR0nfBIs,RbPmMo2O8,"Mo, O, Pm",False
98,--0rqGz0nrAgdJ4czSZj3z7RhfUo,C30H22N4O10Zn2,"C, H, N",False
99,--0s0OnK87VeiuGdnqN3EQbD9Eof,Ba2CuAs,"As, Ba, Cu",False
100,--0sGA2VG1ZYL-LltKv3PXliKL2U,NbPt2Y,"Nb, Pt, Y",False
