atomic_number_Z,symbol,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,X,-3.064029e-08,3.8607116e-08,-2.6477638e-08,-7.75491e-08,1.2671434e-07,1.312087e-07,-1.8058143e-08,7.6057084e-08,-4.0300208e-08,1.0836078e-07,1.47734145e-08,-7.969866e-08,2.7046898e-08,1.1009395e-07,-4.0265746e-08,8.523794e-08,2.9621662e-08,-6.304663e-10,-6.823681e-08,6.437834e-08,2.6769676e-08,-5.649997e-08,-4.8023388e-08,-6.165047e-09,-2.3937345e-08,5.5521433e-08,-4.7432586e-08,-4.476124e-08,-2.4844994e-08,-3.362939e-08,1.6206565e-08,-5.624495e-08
1,H,-7.1614835e-08,6.058779e-08,2.141683e-08,5.8546664e-08,-3.862245e-08,2.8078261e-08,-7.3734516e-09,-2.3128248e-08,-1.2549924e-07,4.1968676e-08,3.024898e-08,4.011293e-08,-8.3520554e-08,-4.561843e-08,-3.9775184e-08,-6.834539e-09,-3.064378e-08,6.4959856e-08,8.086708e-08,7.8019404e-08,-3.7607755e-08,3.2561598e-08,5.0327382e-09,2.4101219e-08,-2.947402e-08,-4.409844e-08,8.886598e-09,-3.8605624e-08,-7.8853716e-08,-6.576366e-08,1.0993047e-08,-2.0886558e-08
2,He,2.8829849e-08,6.93728e-09,-5.5249075e-08,-6.3525654e-08,2.3941245e-08,2.1523626e-08,9.281211e-08,-1.4551004e-07,-9.357131e-08,2.7409612e-08,1.5516409e-07,3.16502e-08,6.163867e-08,-3.581714e-08,-8.643305e-08,-2.0655502e-08,-3.5260665e-08,-4.3835026e-08,2.7345848e-08,-1.1543554e-08,6.763838e-08,7.1551582e-09,-1.2001311e-07,-1.6023538e-08,5.5771935e-08,9.3692535e-08,-2.6560508e-08,1.2624246e-08,-9.868608e-08,1.6660707e-08,-2.7649811e-09,-6.0755696e-08
3,Li,0.03897402,-0.37214905,5.7791644e-06,0.041934688,-0.025929095,6.2051826e-05,0.02145324,-0.05471791,-3.494612e-05,0.023213908,-0.1932821,2.376727e-07,0.00010141904,-5.3434756e-05,-0.035172213,-0.031974584,0.0001231305,0.16598009,0.030894525,0.027819822,0.046594966,1.139326e-05,-0.06429515,0.11599329,-0.0001556065,-0.34979248,-0.031066671,0.07423026,-0.022267627,-3.172776e-05,0.016890291,0.029727764
4,Be,-8.455349e-09,2.0420522e-08,9.749999e-09,9.9311585e-08,4.3922107e-08,-2.8613066e-08,3.717219e-08,2.3367319e-08,-8.0005584e-08,7.22546e-08,6.519686e-08,-4.851034e-09,2.4891479e-08,1.04337424e-07,7.713749e-08,-5.408427e-09,-9.679246e-09,-6.5733246e-08,-5.3098667e-08,2.0384311e-08,-6.444065e-08,-6.695861e-08,2.5167779e-08,-1.0105424e-07,-9.301352e-09,-4.817172e-08,-7.775303e-08,3.32582e-08,-2.822628e-09,7.244776e-08,1.4085213e-08,2.3313596e-08
5,B,2.4740077e-08,3.688808e-08,-1.9576259e-08,-3.520196e-08,-3.2118802e-08,-9.6054336e-08,8.75494e-08,-1.5412834e-07,2.352453e-09,-3.9759424e-08,-7.253627e-08,-2.6278386e-08,-1.2829328e-07,4.5029003e-09,4.1298073e-08,-1.2547806e-08,1.6123803e-07,-3.751919e-08,-1.46752654e-08,8.1122224e-08,2.4125137e-08,1.4447862e-08,8.004241e-09,1.5051509e-07,-1.14851375e-07,-3.9419696e-08,-2.6858444e-08,-4.5669346e-08,-1.7051397e-08,-8.692351e-08,-7.789634e-08,-2.7978633e-08
6,C,3.0138793e-08,9.180201e-08,-3.713186e-08,-9.5835134e-08,1.8537243e-09,-1.44514e-07,-6.727477e-08,3.2306712e-08,7.301609e-08,5.2088225e-08,-6.5618494e-08,-6.1278996e-08,1.3677289e-08,6.1124204e-08,2.1620892e-08,2.3507985e-08,-8.287194e-08,-4.123197e-08,5.1562118e-08,-3.2381102e-08,-1.0762104e-08,-8.2464304e-08,-3.9809866e-08,2.6551072e-08,-1.293079e-07,5.7578312e-08,-5.9405497e-08,-5.87969e-08,4.9434153e-08,1.0844347e-07,-1.0962663e-08,3.4862644e-08
7,N,-2.0677634e-08,-4.3722142e-08,-5.0347417e-08,-5.2626678e-08,-1.2827239e-08,1.2332098e-08,-1.5031574e-08,-4.735222e-10,-3.4814192e-08,3.857111e-08,-4.598958e-08,-5.6527107e-08,5.794289e-08,2.8652767e-08,4.6037602e-08,-1.9122924e-08,6.269239e-08,-6.047051e-08,-8.004417e-08,-5.6514182e-08,-2.6792422e-09,-4.7864358e-08,-5.6101612e-08,2.0978035e-09,-1.8150054e-08,-3.6787973e-09,3.5750624e-08,9.039535e-08,2.3835543e-08,2.6795032e-08,8.6339895e-08,8.46973e-08
8,O,-0.16362418,0.26572642,-0.00013308294,-0.15998267,0.15400314,1.9982823e-05,-0.15496393,0.15996653,0.00017066266,-0.15361969,0.17742969,-0.00018852284,6.0787017e-05,9.5550255e-05,0.1607554,0.15844822,6.8302897e-06,-0.1756611,-0.15503734,-0.15429716,-0.15949143,-0.0001860818,0.16003233,-0.13917466,-6.6733282e-06,0.27016172,0.15465315,-0.1636287,0.15525538,7.146841e-06,-0.15661778,-0.14688113
9,F,-3.9569135e-09,2.0173854e-08,2.617747e-08,3.3567544e-09,-3.3923257e-08,-5.3156537e-08,5.9214564e-08,-5.8281472e-08,-2.9228875e-08,-5.6192114e-08,7.658709e-08,5.2756665e-08,-1.3511697e-08,-5.454512e-08,8.135502e-09,-2.7529607e-09,-1.0359486e-07,-4.4005745e-08,1.6490006e-08,5.978357e-08,2.6361317e-08,-3.759124e-08,1.5493892e-08,2.6562702e-08,4.6120512e-08,2.6939237e-08,-1.1011117e-08,-7.3747245e-08,4.6765823e-08,-6.8785525e-08,2.3273167e-08,9.1584225e-09
