weight_index,weight_value
0,0.018025544
1,0.291399
2,0.0631301
3,0.19582416
4,-0.374746
5,-0.20987691
6,-0.12887684
7,-0.011987454
8,0.13366514
9,-0.04182438
10,-0.019166289
11,0.041623905
12,0.0974049
13,-0.060306676
14,0.089817606
15,-0.028287793
16,-0.043880735
17,0.09299771
18,0.13337834
19,0.24702421
20,0.11352452
21,-0.3751405
22,-0.010074952
23,-0.19764575
24,-0.02934495
25,0.005327912
26,0.36647683
27,0.050684232
28,-0.004086911
29,0.1469022
30,-0.21437317
31,-0.10479534
32,-0.20057811
33,-0.006147624
34,0.07551696
35,0.025193471
36,0.061557367
37,0.0074451184
38,0.055381082
39,-0.13495244
40,-0.045509003
41,0.376678
42,-0.060964536
43,-0.034225665
44,-0.1305595
45,-0.17770965
46,-0.36575347
47,0.085845314
48,0.057573736
49,-0.034735415
50,-0.007308051
51,-0.12231764
52,-0.00084031146
53,0.15462254
54,0.36002827
55,0.04737087
56,-0.015978463
57,0.09150224
58,0.046752837
59,0.051804435
60,0.13410275
61,0.0788403
62,-0.19599918
63,-0.14572501
64,-0.044602793
65,-0.14855869
66,-0.033910405
67,-0.015872013
68,0.2848358
69,0.040546034
70,-0.11301431
71,-0.12314027
72,-0.1839779
73,-0.04599907
74,-0.045408163
75,-0.08747021
76,0.083076686
77,0.09383865
78,0.04450549
79,0.06407063
80,-0.07005921
81,0.4916044
82,-0.06662275
83,-0.054068096
84,0.066127166
85,0.28616366
86,-0.012764906
87,-0.06131927
88,-0.36924773
89,0.26905832
90,-0.18368602
91,0.15811796
92,0.022223711
93,-0.009937618
94,-0.64973116
95,-0.08646269
96,0.0006062635
97,0.05045039
98,0.05507761
99,-0.27545953
100,0.031379122
101,-0.012081218
102,0.0717071
103,-0.614657
104,0.09392446
105,-0.2791786
106,0.22077942
107,0.11862889
108,0.012404103
109,0.004589945
110,0.24762209
111,-0.091042675
112,-0.1251854
113,0.07265173
114,0.020589279
115,-0.31506094
116,0.027666766
117,-0.12744895
118,-0.2521326
119,-0.04087374
120,-0.022706341
121,0.3440402
122,0.17928697
123,-0.060178522
124,0.09352244
125,0.03330892
126,-0.6686505
127,-0.42024612
128,-0.00019431337
129,-7.158702e-06
130,0.00013834493
131,-0.00052049605
132,0.0008049253
133,0.000352111
134,-8.599874e-05
135,-0.00017515694
136,7.022679e-05
137,0.0005097859
138,-0.00029526444
139,4.7224923e-05
140,-0.00042710005
141,-0.00037213118
142,0.0005042333
143,0.00032290566
144,-0.00021131276
145,6.3050655e-05
146,0.00042446004
147,0.0003007204
148,0.00044548002
149,-0.00039028886
150,0.00015857292
151,0.00018188947
152,-0.00046266508
153,-0.00019067348
154,0.00014313839
155,0.00046438852
156,-0.0004238338
157,-0.0008178047
158,0.00022253401
159,-0.00020996519
160,-0.00011828428
161,-7.334869e-05
162,-8.714095e-05
163,-0.00020279981
164,0.0003324513
165,0.00010616273
166,0.00015025653
167,-0.00013843205
168,1.902225e-05
169,-0.000295143
170,0.00040738084
171,0.0002252399
172,-0.0003399554
173,0.00090924185
174,-0.0005352807
175,0.00030776308
176,-0.00014329936
177,0.00025102834
178,0.0004928341
179,-0.00019251848
180,-0.00010028717
181,-7.8106335e-05
182,0.00030528728
183,-0.00029932355
184,-0.0005763339
185,0.00029884314
186,-5.3362302e-05
187,-0.00022245017
188,0.00016616404
189,9.0247115e-05
190,0.0001714758
191,-4.06605e-05
192,0.0024035797
193,0.28380412
194,0.12507576
195,-0.03447052
196,-0.36367816
197,-0.013036488
198,-0.0035933685
199,0.053916655
200,0.08868371
201,-0.041648056
202,-0.018220348
203,0.046658516
204,0.021002138
205,0.019792205
206,-0.045518707
207,-0.06571306
208,-0.0090839565
209,0.14863221
210,0.13861616
211,0.00226251
212,-0.00031393868
213,-0.36217523
214,0.014493821
215,-0.020728072
216,-0.0773702
217,0.031212747
218,0.35607857
219,0.040506765
220,-0.029699938
221,-0.049696237
222,-0.21365589
223,-0.07396198
224,-0.016927887
225,-0.01834775
226,0.077234514
227,-0.09813188
228,-0.026785312
229,0.015552047
230,-0.037144933
231,-0.13466965
232,0.017463423
233,0.36594588
234,-0.041787118
235,-0.02172742
236,-0.001903065
237,0.028644366
238,-0.3521803
239,0.097220704
240,0.0712817
241,0.18684039
242,0.014861521
243,-0.07857119
244,-0.06587817
245,0.1632329
246,0.35098314
247,0.053685687
248,-0.07610088
249,0.12062203
250,0.061412975
251,-0.028088018
252,0.07838133
253,0.003462713
254,-0.17897116
255,-0.14214842
256,0.010994399
257,-0.2841119
258,-0.16813797
259,0.104665145
260,0.35906735
261,0.032160733
262,-0.10726683
263,-0.01794798
264,-0.14048117
265,0.04505121
266,0.06298046
267,-0.11349228
268,-0.04101258
269,-0.030240634
270,0.2174182
271,0.016272288
272,0.07226469
273,-0.1763021
274,-0.14650533
275,-0.016797436
276,0.0030380297
277,0.3559747
278,0.07670965
279,-0.09387921
280,0.14416243
281,-0.059290346
282,-0.35786796
283,0.021910986
284,0.05364142
285,0.21563117
286,0.2185006
287,-0.010530152
288,-0.06856116
289,0.005012357
290,-0.097740315
291,0.24958044
292,-0.011190502
293,-0.042670567
294,0.088125296
295,0.12527591
296,-0.034464464
297,-0.36193934
298,0.07760794
299,0.025413727
300,-0.032282192
301,-0.15588595
302,0.35197654
303,-0.08632639
304,-0.09496782
305,0.1229615
306,0.0028817803
307,0.042615894
308,0.04058633
309,-0.17483126
310,-0.34903225
311,-0.05840064
312,0.1654103
313,-0.04781661
314,-0.033601265
315,0.11079041
316,-0.09036783
317,-0.0567947
318,0.18835406
319,0.17897402
320,0.000109070475
321,-8.463852e-05
322,-0.00018472478
323,-0.0002474067
324,3.1458225e-05
325,-0.0002860567
326,-0.00019557137
327,8.954047e-05
328,-4.202232e-06
329,-6.3774464e-06
330,-0.00029477384
331,-0.0001887437
332,0.00020491885
333,-1.7601603e-06
334,-0.00018911355
335,-0.00010166769
336,-0.00039691987
337,9.857021e-06
338,0.0004973782
339,8.6570144e-05
340,-0.0004672886
341,-0.00018706184
342,0.00018457556
343,0.00012253608
344,-0.00021521677
345,-0.0001233536
346,-4.0207564e-05
347,-0.000106034684
348,-0.00026865423
349,0.00044250942
350,1.9048109e-06
351,4.989808e-05
352,6.519626e-05
353,0.00011087106
354,0.00015518189
355,0.0002985079
356,0.000535663
357,-0.00033230818
358,0.00016394812
359,-5.2386156e-05
360,0.00012868791
361,-0.00015332701
362,-6.737371e-05
