weight_index,weight_value
0,0.04513961
1,0.29121536
2,0.08072329
3,-0.035275213
4,-0.32673848
5,-0.03621552
6,-0.039533682
7,0.061625853
8,-0.024745226
9,-0.0024603894
10,0.10120453
11,0.057523806
12,-0.004519592
13,-0.03225043
14,-0.06435551
15,-0.09009416
16,0.011435311
17,0.2873731
18,0.07253741
19,-0.055436857
20,-0.0738824
21,-0.32373285
22,-0.021620993
23,-0.03927348
24,-0.115482345
25,-0.10582652
26,0.3117323
27,-0.062484983
28,0.026295645
29,-0.10361877
30,-0.2187702
31,0.044522163
32,0.052553896
33,-0.06700704
34,0.16524324
35,-0.059001245
36,-0.050298598
37,-0.35576004
38,0.006313655
39,-0.23199181
40,-0.032111097
41,0.32165447
42,-0.018745769
43,-0.20225091
44,0.08112208
45,-0.02304577
46,-0.3146352
47,0.083092555
48,0.044782836
49,-0.025998749
50,-0.056321036
51,0.025360424
52,0.040416103
53,0.48667762
54,0.32101834
55,0.045902632
56,0.006493866
57,-0.022148693
58,-0.04239804
59,0.0045586056
60,0.12254574
61,0.06866124
62,-0.19838199
63,-0.13460283
64,-0.16030602
65,-0.70123094
66,-0.22908503
67,0.10217869
68,-0.13100113
69,0.19015892
70,-0.40485182
71,0.12283414
72,0.10993664
73,0.10726647
74,-0.1634033
75,-0.22201586
76,0.19216304
77,-0.19626285
78,-0.13657856
79,-0.26794645
80,-0.11004257
81,-0.10673278
82,-0.040861633
83,0.21408945
84,0.07984906
85,-0.101123154
86,-0.12158723
87,-0.31289697
88,0.19860403
89,0.4333761
90,-0.10649598
91,0.106568605
92,0.1337378
93,0.10034722
94,-0.09510302
95,0.040708754
96,0.09133332
97,-0.15905187
98,0.20759931
99,0.17293125
100,0.094028786
101,0.20309505
102,0.10262928
103,-0.079112016
104,0.10785555
105,0.033595398
106,-0.1521629
107,-0.26860008
108,0.17777021
109,0.040098634
110,-0.13299057
111,-0.018155452
112,-0.06690538
113,-0.23678766
114,0.29525197
115,0.13546096
116,-0.21735619
117,-0.13771544
118,-0.11051722
119,-0.1859564
120,0.13937809
121,-0.06536898
122,-0.2231159
123,0.14657457
124,0.05088901
125,0.16428031
126,0.58234423
127,-0.100573614
128,0.104541786
129,-0.058156013
130,0.061278395
131,0.019663619
132,0.0032382233
133,0.10687477
134,-0.09876288
135,-0.04554263
136,0.059311897
137,-0.019420538
138,0.011565163
139,-0.12604515
140,0.04321383
141,0.060658943
142,-0.15041664
143,0.12566918
144,0.04536191
145,-0.043868687
146,0.12927431
147,0.10419522
148,0.061505947
149,-0.020206885
150,0.06346005
151,0.11987713
152,0.019044051
153,0.06737607
154,-0.3457431
155,0.020569755
156,-0.037998475
157,0.21021184
158,0.3268673
159,-0.068512686
160,-0.1269255
161,0.1059814
162,-0.07821086
163,0.032446958
164,-0.035510242
165,0.025540698
166,0.032908652
167,-0.14665213
168,0.035069264
169,-0.039201815
170,-0.090299405
171,0.06824061
172,-0.122524634
173,-0.04303184
174,-0.07972945
175,-0.102090076
176,0.059797123
177,-0.11780562
178,0.04238695
179,-0.04282103
180,-0.059619334
181,0.11702133
182,0.035303406
183,0.06434624
184,0.039648
185,0.091110066
186,0.120589495
187,-0.040386066
188,-0.032532018
189,-0.027118277
190,-0.061209884
191,0.055604905
