Chemical_Formula,Snapshot_Frame_Count
Ca2HfO12PbSrTi2Zr,18
Ca2HfO12PbSrTiZr2,18
Ca2Hf2O12PbSrTiZr,18
BaCa2HfO12PbTi2Zr,18
BaCa2HfO12PbTiZr2,18
BaCa2Hf2O12PbTiZr,18
Ca2HfO12Pb2Ti2Zr,12
Ca2HfO12Pb2TiZr2,12
Ca2Hf2O12Pb2TiZr,12
Ca2O12PbSrTi2Zr2,12
Ca2Hf2O12PbSrTi2,12
Ca2Hf2O12PbSrZr2,12
BaCa2O12PbTi2Zr2,12
BaCa2Hf2O12PbTi2,12
BaCa2Hf2O12PbZr2,12
CaHfO12Pb2SrTi2Zr,12
CaHfO12Pb2SrTiZr2,12
CaHf2O12Pb2SrTiZr,12
BaCaHfO12Pb2Ti2Zr,12
BaCaHfO12Pb2TiZr2,12
BaCaHf2O12Pb2TiZr,12
BaCaHfO12PbSrTi2Zr,12
BaCaHfO12PbSrTiZr2,12
BaCaHf2O12PbSrTiZr,12
Ca2O12Pb2Ti2Zr2,10
Ca2Hf2O12Pb2Ti2,10
Ca2Hf2O12Pb2Zr2,10
Ca2HfO12Sr2Ti2Zr,9
Ca2HfO12Sr2TiZr2,9
Ca2Hf2O12Sr2TiZr,9
CaO12Pb2SrTi2Zr2,8
CaHf2O12Pb2SrTi2,8
CaHf2O12Pb2SrZr2,8
BaCaO12Pb2Ti2Zr2,8
BaCaHf2O12Pb2Ti2,8
BaCaHf2O12Pb2Zr2,8
BaCaO12PbSrTi2Zr2,8
BaCaHf2O12PbSrTi2,8
BaCaHf2O12PbSrZr2,8
Ca2O12Sr2Ti2Zr2,7
Ca2Hf2O12Sr2Ti2,7
BaCaO12PbSrZr4,6
BaCaHf4O12PbSr,6
Ca3HfO12PbTi2Zr,6
Ca3HfO12PbTiZr2,6
Ca3Hf2O12PbTiZr,6
Ca3HfO12SrTi2Zr,6
Ca3HfO12SrTiZr2,6
Ca3Hf2O12SrTiZr,6
BaCa3HfO12Ti2Zr,6
BaCa3HfO12TiZr2,6
BaCa3Hf2O12TiZr,6
Ca2O12PbSrTi3Zr,6
Ca2HfO12PbSrTi3,6
Ca2O12PbSrTiZr3,6
Ca2Hf3O12PbSrTi,6
Ca2HfO12PbSrZr3,6
Ca2Hf3O12PbSrZr,6
BaCa2O12PbTi3Zr,6
BaCa2HfO12PbTi3,6
BaCa2O12PbTiZr3,6
BaCa2Hf3O12PbTi,6
BaCa2HfO12PbZr3,6
BaCa2Hf3O12PbZr,6
Ca2Hf2O12Sr2Zr2,6
BaCa2HfO12SrTi2Zr,6
BaCa2HfO12SrTiZr2,6
BaCa2Hf2O12SrTiZr,6
CaHfO12Pb3Ti2Zr,6
CaHfO12Pb3TiZr2,6
CaHf2O12Pb3TiZr,6
CaHfO12PbSr2Ti2Zr,6
CaHfO12PbSr2TiZr2,6
CaHf2O12PbSr2TiZr,6
Ba2CaHfO12PbTi2Zr,6
Ba2CaHfO12PbTiZr2,6
Ba2CaHf2O12PbTiZr,6
BaCaO12PbSrTi4,5
Ca3O12PbTi2Zr2,4
Ca3Hf2O12PbTi2,4
Ca3Hf2O12PbZr2,4
Ca3O12SrTi2Zr2,4
Ca3Hf2O12SrTi2,4
Ca3Hf2O12SrZr2,4
BaCa3O12Ti2Zr2,4
BaCa3Hf2O12Ti2,4
BaCa3Hf2O12Zr2,4
Ca2O12Pb2Ti3Zr,4
Ca2HfO12Pb2Ti3,4
Ca2O12Pb2TiZr3,4
Ca2Hf3O12Pb2Ti,4
Ca2HfO12Pb2Zr3,4
Ca2Hf3O12Pb2Zr,4
BaCa2O12SrTi2Zr2,4
BaCa2Hf2O12SrTi2,4
BaCa2Hf2O12SrZr2,4
CaO12Pb3Ti2Zr2,4
CaHf2O12Pb3Ti2,4
CaHf2O12Pb3Zr2,4
CaO12Pb2SrTi3Zr,4
CaHfO12Pb2SrTi3,4
CaO12Pb2SrTiZr3,4
CaHf3O12Pb2SrTi,4
CaHfO12Pb2SrZr3,4
CaHf3O12Pb2SrZr,4
BaCaO12Pb2Ti3Zr,4
BaCaHfO12Pb2Ti3,4
BaCaO12Pb2TiZr3,4
BaCaHf3O12Pb2Ti,4
BaCaHfO12Pb2Zr3,4
BaCaHf3O12Pb2Zr,4
CaO12PbSr2Ti2Zr2,4
CaHf2O12PbSr2Ti2,4
CaHf2O12PbSr2Zr2,4
BaCaO12PbSrTi3Zr,4
BaCaHfO12PbSrTi3,4
BaCaO12PbSrTiZr3,4
BaCaHf3O12PbSrTi,4
BaCaHfO12PbSrZr3,4
BaCaHf3O12PbSrZr,4
Ba2CaO12PbTi2Zr2,4
Ba2CaHf2O12PbTi2,4
Ba2CaHf2O12PbZr2,4
Ca2O12Pb2Zr4,3
Ca2O12PbSrZr4,3
BaCa2O12PbZr4,3
Ca2O12Sr2Zr4,3
BaCa2O12SrZr4,3
Ba2Ca2O12Zr4,3
CaO12Pb2SrZr4,3
BaCaO12Pb2Zr4,3
CaO12PbSr2Zr4,3
Ba2CaO12PbZr4,3
BaCaO12Sr2Zr4,3
Ba2CaO12SrZr4,3
O12Pb2Sr2Zr4,3
BaO12Pb2SrZr4,3
Ba2O12Pb2Zr4,3
BaO12PbSr2Zr4,3
Ba2O12PbSrZr4,3
Ba2O12Sr2Zr4,3
Ca2O12Pb2Ti4,3
Ca2O12PbSrTi4,3
BaCa2O12PbTi4,3
Ca2O12Sr2Ti4,3
BaCa2O12SrTi4,3
Ba2Ca2O12Ti4,3
CaO12Pb2SrTi4,3
BaCaO12Pb2Ti4,3
CaO12PbSr2Ti4,3
Ba2CaO12PbTi4,3
BaCaO12Sr2Ti4,3
Ba2CaO12SrTi4,3
O12Pb2Sr2Ti4,3
Ba2O12Pb2Ti4,3
BaO12PbSr2Ti4,3
Ba2O12PbSrTi4,3
Ba2O12Sr2Ti4,3
Ca2Hf4O12Pb2,3
Ca2Hf4O12PbSr,3
BaCa2Hf4O12Pb,3
Ca2Hf4O12Sr2,3
BaCa2Hf4O12Sr,3
Ba2Ca2Hf4O12,3
