material_id,formula,max_predicted_diag_bec,anomalous_flag
aaaelwcb,UCdO4,5.526,GIANT_BEC_ANOMALY
aaaelwhx,TiO2,6.917,GIANT_BEC_ANOMALY
aaaelxco,Si3Ru2,6.417,GIANT_BEC_ANOMALY
aaaelxfo,Sb6O13,5.683,GIANT_BEC_ANOMALY
aaaelxpe,CaUO4,6.44,GIANT_BEC_ANOMALY
aaaelynh,Zr3N4,6.492,GIANT_BEC_ANOMALY
aaaelzmw,TeO3,5.984,GIANT_BEC_ANOMALY
aaaemcwa,Mg2FeH6,6.207,GIANT_BEC_ANOMALY
aaaemdfl,BaTiF6,5.52,GIANT_BEC_ANOMALY
aaaemdwv,Bi2S2O,6.401,GIANT_BEC_ANOMALY
aaaemelt,Sc2Ti2O7,6.144,GIANT_BEC_ANOMALY
aaaemgin,Sr2FeH6,6.421,GIANT_BEC_ANOMALY
aaaemjjz,ThSeO,5.679,GIANT_BEC_ANOMALY
aaaemjkg,SrTiO3,6.58,GIANT_BEC_ANOMALY
aaaemjkq,BaZrO3,5.724,GIANT_BEC_ANOMALY
aaaemkel,Ta3O7F,7.93,GIANT_BEC_ANOMALY
aaaemkxw,TiCdO3,5.682,GIANT_BEC_ANOMALY
aaaemlla,ThSO,5.895,GIANT_BEC_ANOMALY
aaaemmes,ThTi2O6,5.996,GIANT_BEC_ANOMALY
aaaemmig,SrTiO3,6.832,GIANT_BEC_ANOMALY
aaaemojf,Nb2O5,8.313,GIANT_BEC_ANOMALY
aaaemoqh,Th2Se5,5.71,GIANT_BEC_ANOMALY
aaaempci,Nb2O5,6.451,GIANT_BEC_ANOMALY
aaaempon,SbO2,6.536,GIANT_BEC_ANOMALY
aaaempwf,WO3,7.551,GIANT_BEC_ANOMALY
aaaemuvt,ZnWO4,6.89,GIANT_BEC_ANOMALY
