material_id,formula,max_predicted_diag_bec,anomalous_flag
aaaelwhx,TiO2,6.532,GIANT_BEC_ANOMALY
aaaelxco,Si3Ru2,7.14,GIANT_BEC_ANOMALY
aaaelxrz,CsTaN2,6.033,GIANT_BEC_ANOMALY
aaaelynh,Zr3N4,6.525,GIANT_BEC_ANOMALY
aaaelzmw,TeO3,5.51,GIANT_BEC_ANOMALY
aaaelzug,Pb3O4,6.024,GIANT_BEC_ANOMALY
aaaemamj,CsVN2,6.788,GIANT_BEC_ANOMALY
aaaemcjc,Si3Os2,7.332,GIANT_BEC_ANOMALY
aaaemfrx,W(OF)2,7.998,GIANT_BEC_ANOMALY
aaaemgin,Sr2FeH6,10.655,GIANT_BEC_ANOMALY
aaaemjkg,SrTiO3,7.543,GIANT_BEC_ANOMALY
aaaemjkq,BaZrO3,6.175,GIANT_BEC_ANOMALY
aaaemkel,Ta3O7F,7.719,GIANT_BEC_ANOMALY
aaaemmes,ThTi2O6,6.397,GIANT_BEC_ANOMALY
aaaemmig,SrTiO3,7.883,GIANT_BEC_ANOMALY
aaaemnur,Ta3N5,6.665,GIANT_BEC_ANOMALY
aaaemojf,Nb2O5,7.055,GIANT_BEC_ANOMALY
aaaemoqh,Th2Se5,5.814,GIANT_BEC_ANOMALY
aaaempci,Nb2O5,6.892,GIANT_BEC_ANOMALY
aaaempwf,WO3,12.079,GIANT_BEC_ANOMALY
aaaempyq,FeP2,6.537,GIANT_BEC_ANOMALY
aaaemrgm,As2Ru,6.273,GIANT_BEC_ANOMALY
aaaemrqd,ThSe2,5.747,GIANT_BEC_ANOMALY
aaaemsll,LaPaO4,6.582,GIANT_BEC_ANOMALY
aaaemtue,SrTiN2,6.009,GIANT_BEC_ANOMALY
aaaemtvm,ThNCl,5.824,GIANT_BEC_ANOMALY
