Index,Material_ID,Formula,Atoms,Elements,Max_Diag_BEC_e
1,aaaegquq,Sr2NCl,4,"Cl, N, Sr",3.496
2,aaaegqvu,DyTlS2,4,"Dy, S, Tl",4.287
3,aaaegrad,YAgTe2,4,"Ag, Te, Y",4.669
4,aaaegrak,HBr,4,"Br, H",1.306
5,aaaegraq,CsAu,2,"Au, Cs",1.208
6,aaaegrar,RbLaO2,4,"La, O, Rb",4.516
7,aaaegrbm,NaHoSe2,4,"Ho, Na, Se",4.404
8,aaaegrbt,SnBr2,3,"Br, Sn",4.245
9,aaaegrce,SrSe,2,"Se, Sr",2.388
10,aaaegrct,ErCuSe2,4,"Cu, Er, Se",4.425
11,aaaegrdq,YOF,6,"F, O, Y",3.903
12,aaaegrem,BN,4,"B, N",2.708
13,aaaegreq,GeTe,2,"Ge, Te",7.021
14,aaaegrfh,TlInS2,4,"In, S, Tl",4.344
15,aaaegrhg,LiSmS2,4,"Li, S, Sm",4.473
16,aaaegrhz,RbF,2,"F, Rb",1.206
17,aaaegrib,Li2Se,3,"Li, Se",1.878
18,aaaegrie,InP,4,"In, P",2.595
19,aaaegriv,NaHF2,4,"F, H, Na",1.962
20,aaaegrjj,Sr2BrN,4,"Br, N, Sr",3.505
21,aaaegrjk,SnSeS,3,"S, Se, Sn",4.971
22,aaaegrkw,Ho2CF2,5,"C, F, Ho",4.931
23,aaaegrla,H2,2,H,0.0
24,aaaegrlv,BeS,2,"Be, S",1.592
25,aaaegrlz,Th2N2O,5,"N, O, Th",5.529
26,aaaegrmb,ZrInAu,3,"Au, In, Zr",3.052
27,aaaegrme,Ca(MgAs)2,5,"As, Ca, Mg",3.004
28,aaaegrmh,CuCl,2,"Cl, Cu",1.079
29,aaaegrno,ScTeRh,3,"Rh, Sc, Te",3.558
30,aaaegrua,ZnS,2,"S, Zn",1.964
31,aaaegrvw,WS2,3,"S, W",0.607
32,aaaegrwa,NaF,2,"F, Na",1.007
33,aaaegrys,ZrCoBi,3,"Bi, Co, Zr",4.938
34,aaaegryv,KZnSb,3,"K, Sb, Zn",3.254
35,aaaegrzi,ZrCl2,3,"Cl, Zr",1.053
36,aaaegrzy,Rb2S,3,"Rb, S",1.991
37,aaaegsbx,Ba2PCl,4,"Ba, Cl, P",3.794
38,aaaegsbz,Mg3SbN,5,"Mg, N, Sb",3.61
39,aaaegsci,Ca3PN,5,"Ca, N, P",4.191
40,aaaegscj,Th2SN2,5,"N, S, Th",5.292
41,aaaegsdu,K2RbSb,4,"K, Rb, Sb",2.924
42,aaaegsez,Ca2Ge,3,"Ca, Ge",3.623
43,aaaegsfg,Be2C,3,"Be, C",3.056
44,aaaegsgt,KBr,2,"Br, K",1.124
45,aaaegshx,NdTlTe2,4,"Nd, Te, Tl",4.517
46,aaaegsib,LaAgO2,4,"Ag, La, O",4.609
47,aaaegsij,Ca(MgBi)2,5,"Bi, Ca, Mg",3.099
48,aaaegsiv,Li2S,3,"Li, S",1.864
49,aaaegsjb,BaLiF3,5,"Ba, F, Li",2.744
50,aaaegskc,MgS,2,"Mg, S",1.881
51,aaaegskx,BaZrO3,5,"Ba, O, Zr",6.218
52,aaaegsll,CdTe,2,"Cd, Te",2.184
53,aaaegsmb,ZrSbRh,3,"Rh, Sb, Zr",4.777
54,aaaegsmi,NaBr,2,"Br, Na",1.124
55,aaaegsny,NaErSe2,4,"Er, Na, Se",4.371
56,aaaegsos,BaLiAs,3,"As, Ba, Li",3.991
57,aaaegsph,Cs2PtC2,5,"C, Cs, Pt",3.523
58,aaaegspk,CaO2,3,"Ca, O",2.692
59,aaaegspq,MgS,2,"Mg, S",2.293
60,aaaegsqf,Ba(MgSb)2,5,"Ba, Mg, Sb",3.32
61,aaaegsrd,DySbPt,3,"Dy, Pt, Sb",2.022
62,aaaegssj,MgO,2,"Mg, O",1.951
63,aaaegssr,ScAgSe2,4,"Ag, Sc, Se",4.72
64,aaaegstf,VFeSb,3,"Fe, Sb, V",8.063
65,aaaegsyj,MgCdTe2,4,"Cd, Mg, Te",2.188
66,aaaegszb,SnS2,3,"S, Sn",4.882
67,aaaegszt,Ba2SbAu,4,"Au, Ba, Sb",4.623
68,aaaegszv,LuAgTe2,4,"Ag, Lu, Te",4.702
69,aaaegtau,RbI,2,"I, Rb",1.156
70,aaaegtcl,ZrSnPt,3,"Pt, Sn, Zr",3.894
71,aaaegtde,CdCl2,3,"Cd, Cl",2.628
72,aaaegtdg,MgSe,2,"Mg, Se",1.884
73,aaaegtdy,CsCl,2,"Cl, Cs",1.337
74,aaaegtev,Ba(AgS)2,5,"Ag, Ba, S",3.343
75,aaaegtht,ScCuO2,4,"Cu, O, Sc",4.393
76,aaaegtid,LuCuSe2,4,"Cu, Lu, Se",4.373
77,aaaegtiq,NaNdSe2,4,"Na, Nd, Se",4.64
78,aaaegtje,Xe,2,Xe,0.0
79,aaaegtlr,LiMgBi,3,"Bi, Li, Mg",2.846
80,aaaegtls,CsI,2,"Cs, I",1.218
81,aaaegtmw,ThSnPt,3,"Pt, Sn, Th",2.428
82,aaaegtpl,LiMgSb,3,"Li, Mg, Sb",2.797
83,aaaegtqb,LiTbSe2,4,"Li, Se, Tb",4.431
84,aaaegtqi,KDyO2,4,"Dy, K, O",4.244
85,aaaegtqr,KMgP,6,"K, Mg, P",2.936
86,aaaegtqs,CsSmS2,4,"Cs, S, Sm",4.52
87,aaaegtqv,MoS2,6,"Mo, S",1.094
88,aaaegtqw,NaLaS2,4,"La, Na, S",4.447
89,aaaegtrf,N2,4,N,0.0
90,aaaegtrs,RbTmO2,4,"O, Rb, Tm",4.152
