Atom_Idx,Symbol,Z,Pred_Zxx,Pred_Zyy,Pred_Zzz,DFPT_Zxx,DFPT_Zyy,DFPT_Zzz,MAE
0,Ca,20,2.4352639,2.338134,2.4838288,2.42577862739563,2.3358495235443115,2.4734320640563965,0.003911521349395714
1,Ca,20,2.421513,2.3460147,2.4883866,2.42577862739563,2.3358495235443115,2.4734320640563965,0.004553802325711244
2,Ca,20,2.421513,2.3460147,2.4883866,2.42577862739563,2.3358495235443115,2.4734320640563965,0.004553799328424961
3,Ca,20,2.4352639,2.338134,2.4838288,2.42577862739563,2.3358495235443115,2.4734320640563965,0.003911522825166812
4,O,8,-3.083024,-1.8523976,-2.9206638,-3.086766242980957,-1.849949836730957,-2.921029806137085,0.004534519794914458
5,O,8,-1.7682455,-4.001041,-2.0533,-1.7726070880889893,-4.005259990692139,-2.0587196350097656,0.005129760341631743
6,O,8,-1.7646512,-4.020499,-2.0511434,-1.7726070880889893,-4.005259990692139,-2.0587196350097656,0.004052563934812742
7,O,8,-3.0913532,-1.8558551,-2.9213212,-3.086766242980957,-1.849949836730957,-2.921029806137085,0.006527228073941337
8,O,8,-1.7682451,-4.001041,-2.0532994,-1.7726070880889893,-4.005259990692139,-2.0587196350097656,0.005129846016776203
9,O,8,-1.7646508,-4.020499,-2.0511432,-1.7726070880889893,-4.005259990692139,-2.0587196350097656,0.004052627453920198
10,O,8,-3.091353,-1.8558549,-2.921321,-3.086766242980957,-1.849949836730957,-2.921029806137085,0.0065271444618701935
11,O,8,-3.0830238,-1.8523973,-2.9206636,-3.086766242980957,-1.849949836730957,-2.921029806137085,0.004534545458025402
12,O,8,-3.0830243,-1.8523974,-2.920664,-3.086766242980957,-1.849949836730957,-2.921029806137085,0.004534475091430876
13,O,8,-3.0913534,-1.855855,-2.9213214,-3.086766242980957,-1.849949836730957,-2.921029806137085,0.006527286022901535
14,O,8,-3.0830243,-1.8523973,-2.920664,-3.086766242980957,-1.849949836730957,-2.921029806137085,0.004534474263588588
15,O,8,-3.0913532,-1.855855,-2.9213212,-3.086766242980957,-1.849949836730957,-2.921029806137085,0.00652721482846472
16,Zr,40,5.512437,5.3769484,5.4080987,5.520360946655273,5.369309902191162,5.427347183227539,0.004948910739686754
17,Zr,40,5.512437,5.376949,5.4080987,5.520360946655273,5.369309902191162,5.427347183227539,0.004948929780059391
18,Zr,40,5.512437,5.3769484,5.4080987,5.520360946655273,5.369309902191162,5.427347183227539,0.004948877625995212
19,Zr,40,5.512437,5.376949,5.4080987,5.520360946655273,5.369309902191162,5.427347183227539,0.004948906600475311
