structure_index,natoms,asr_drift_norm,is_valid_asr
0,4,9.99999971718069e-09,True
1,4,1.4142135537782532e-08,True
2,4,2.220446049250313e-16,True
3,4,0.0,True
4,2,0.0,True
5,4,9.99999993922529e-09,True
6,4,1.4142134281708565e-08,True
7,3,1.4142135537782532e-08,True
8,2,0.0,True
9,4,6.280369834735101e-16,True
10,6,2.8284271075565064e-08,True
11,4,0.0,True
12,2,0.0,True
13,4,8.881784197001252e-16,True
14,4,1.000000082740379e-08,True
15,2,0.0,True
16,3,1.7320507970423888e-08,True
17,4,0.0,True
18,4,1.00000003833145e-08,True
19,4,1.4142136165819515e-08,True
20,3,1.732050745763384e-08,True
21,5,1.0877919644084146e-15,True
22,2,0.0,True
23,2,0.0,True
24,5,9.99999993922537e-09,True
25,3,0.0,True
26,5,9.99999993922537e-09,True
27,2,0.0,True
28,3,0.0,True
29,2,0.0,True
30,3,8.326672684688674e-17,True
31,2,0.0,True
32,3,7.691850745534255e-16,True
33,3,1.4142135537782534e-08,True
34,3,5.551115123125783e-17,True
35,3,1.7320507970423888e-08,True
36,4,9.99999971718069e-09,True
37,5,0.0,True
38,5,1.7320509508794036e-08,True
39,5,1.000000082740371e-08,True
40,4,7.691850745534255e-16,True
41,3,1.7320507970423888e-08,True
42,3,0.0,True
43,2,0.0,True
44,4,1.000000082740371e-08,True
45,4,9.99999993922529e-09,True
46,5,1.414213553778256e-08,True
47,3,0.0,True
48,5,1.7320508739608962e-08,True
49,2,0.0,True
50,5,1.7320507201238824e-08,True
51,2,0.0,True
52,3,0.0,True
53,2,0.0,True
54,4,1.7320507970423888e-08,True
55,3,0.0,True
56,5,1.9999999878450584e-08,True
57,3,9.99999993922529e-09,True
58,2,0.0,True
59,5,1.000000082740371e-08,True
60,3,0.0,True
61,2,0.0,True
62,4,1.7320507970423888e-08,True
63,3,1.538370149106851e-15,True
64,4,9.999999939225302e-09,True
65,3,1.7320507970423888e-08,True
66,4,3.8459253727671276e-16,True
67,4,1.4142135537782539e-08,True
68,2,0.0,True
69,3,0.0,True
70,3,1.4142135537782532e-08,True
71,2,0.0,True
72,2,0.0,True
73,5,9.99999993922529e-09,True
74,4,9.99999993922529e-09,True
75,4,1.4142136165819523e-08,True
76,4,1.7320507970423888e-08,True
77,2,0.0,True
78,3,0.0,True
79,2,0.0,True
80,3,7.691850745534255e-16,True
81,3,0.0,True
82,4,1.7320508996004002e-08,True
83,4,0.0,True
84,6,3.46410161972428e-08,True
85,4,1.4142135537782532e-08,True
86,6,3.1401849173675503e-16,True
87,4,9.99999993922537e-09,True
88,4,0.0,True
89,4,1.4142136793856499e-08,True
90,2,0.0,True
91,5,2.0000000322539794e-08,True
92,4,1.7320507714028868e-08,True
93,4,9.99999993922531e-09,True
94,6,3.4641015940847776e-08,True
95,4,1.4142136793856499e-08,True
96,3,9.99999993922529e-09,True
97,6,3.8459253727671276e-16,True
98,5,1.7320508996003992e-08,True
99,2,0.0,True
100,4,9.99999993922529e-09,True
101,2,0.0,True
102,4,1.00000003833145e-08,True
103,3,0.0,True
104,3,9.999999999999904e-09,True
105,4,1.4142135537782532e-08,True
106,3,1.0000000050247593e-08,True
107,2,0.0,True
108,4,1.4142136793856499e-08,True
