Species,Count,Min,Max,Mean,Std_Dev,Abs_Max,Nominal_Valence,Anomaly_Ratio,Is_Anomalous
Cu,5781,-1.33752911,901.60102962,1.31890190088393,23.700805539551325,901.60102962,2.0,450.80051481,True
O,222579,-387.23959918,806.97331169,-2.163783084723132,4.476439095807254,806.97331169,-2.0,403.486655845,True
Te,8679,-627.07113875,15.89701709,-0.49505562197833863,14.009434617348896,627.07113875,-2.0,313.535569375,True
P,12954,-375.09245306,25.14216807,1.2305874753203645,7.134266799454434,375.09245306,5.0,75.01849061200001,True
In,4314,-167.97528409,5.19768869,2.8237721139383405,5.253932884351565,167.97528409,3.0,55.99176136333333,True
Sb,7143,-6.51694173,162.16983462,2.8770683667940644,5.6074545691549424,162.16983462,3.0,54.05661154,True
Ca,10560,-102.95864856,4.22958514,2.41634366815625,1.4904704709000018,102.95864856,2.0,51.47932428,True
I,14292,-76.86896644,35.83098126,-0.9299467100433808,2.0809507680210837,76.86896644,-1.0,76.86896644,True
S,40656,-11.1792586,59.1821288,-1.8152694072687916,1.4704034712575977,59.1821288,-2.0,29.5910644,True
Li,14145,-27.17851004,2.20790588,1.0750611981449276,0.46990277108999384,27.17851004,1.0,27.17851004,True
V,2226,-20.75716378,13.74223647,4.404098013256963,2.0735219173032533,20.75716378,5.0,4.151432756,True
Lu,1185,-13.83333914,17.66268967,3.7250327169704645,1.479319268377599,17.66268967,,,False
Zn,5901,-16.58284244,3.78246791,2.0745801438705302,0.6010284003027027,16.58284244,2.0,8.29142122,True
Cl,24957,-6.0851691,13.36258669,-1.1358382755880114,0.8722382407484867,13.36258669,-1.0,13.36258669,True
Ta,4197,-5.55001631,13.1024846,6.1738916497593515,2.250225568742198,13.1024846,5.0,2.62049692,True
W,2673,-2.77839929,13.05633892,6.103405862442949,2.6368349561951154,13.05633892,6.0,2.1760564866666665,True
Mo,1494,-3.29550806,12.19045622,4.175167395749665,2.2347698097268256,12.19045622,6.0,2.0317427033333333,True
Ti,4983,-1.71676882,11.63370595,5.5093030691290386,1.5654163767241929,11.63370595,4.0,2.9084264875,True
Se,21093,-11.62636668,6.98878877,-1.5687912822377093,1.6954738220860528,11.62636668,-2.0,5.81318334,True
Nb,3732,-5.73295003,11.53013591,5.746923607229368,2.7663716587399443,11.53013591,5.0,2.3060271820000002,True
As,6654,-5.61207601,11.32940507,0.5774088042996693,2.9292972789408225,11.32940507,3.0,3.776468356666667,True
